,날짜,BDI,WS
449,2012-03-29,926.2684506901173,54.96790122872652
450,2012-03-30,930.0,58.0
451,2012-03-31,932.8751093888344,61.4056990007982
452,2012-04-01,934.8939374368276,64.32790723278609
453,2012-04-02,936.056431283911,66.8086230977746
454,2012-04-03,936.3625909300841,68.84784659576374
455,2012-04-04,935.8124163753472,70.44557772675351
456,2012-04-05,934.4059076197001,71.60181649074393
457,2012-04-06,932.1430646631429,72.31656288773499
458,2012-04-07,930.4049948860803,72.58981691772668
459,2012-04-08,930.5728056689172,72.421578580719
460,2012-04-09,932.6464970116537,71.81184787671197
461,2012-04-10,936.6260689142896,70.76062480570556
462,2012-04-11,942.5115213768249,69.26790936769979
463,2012-04-12,950.3028543992596,67.33370156269464
464,2012-04-13,960.0,65.0
465,2012-04-14,971.6031621238278,62.428353425005376
466,2012-04-15,985.112136825961,60.032302238959396
467,2012-04-16,1000.5269920879937,57.7698478325522
468,2012-04-17,1017.5570091182375,55.64099020578381
469,2012-04-18,1034.4578751665622,53.64572935865421
470,2012-04-19,1050.9388714412792,51.78406529116339
471,2012-04-20,1067.0,50.0
472,2012-04-21,1082.6412546698907,48.88486965356432
473,2012-04-22,1097.8626416237853,48.694022400388455
474,2012-04-23,1112.664158804072,49.48345624378375
475,2012-04-24,1126.807609811595,51.25317118375021
476,2012-04-25,1138.8638162514167,54.00316722028785
477,2012-04-26,1148.5945817243803,57.73344435339665
478,2012-04-27,1156.0,62.5
479,2012-04-28,1161.0797897697335,66.80198916477377
480,2012-04-29,1163.8342323421234,69.47455135393409
481,2012-04-30,1164.263233947655,70.46168915055762
482,2012-05-01,1162.6581257881935,69.76340255464432
483,2012-05-02,1160.7668950749264,67.3796915661942
484,2012-05-03,1158.8808730097178,63.310556185207254
485,2012-05-04,1157.0,57.5
486,2012-05-05,1155.1244548234772,51.89890632268156
487,2012-05-06,1153.254058702445,48.12217999526002
488,2012-05-07,1151.3888712294713,46.225817429418896
489,2012-05-08,1149.5701133035514,46.20981862515818
490,2012-05-09,1148.0451103186522,48.07418358247787
