,날짜,OIL_CL,OIL_DU,OIL_BRT
291,2008-01-21,89.2512269473431,86.36300466680072,88.36912564303344
292,2008-01-22,89.85,87.36,88.45
293,2008-01-23,86.99,85.46,86.62
294,2008-01-24,89.25900784217457,86.61541920568415,88.97127691220756
295,2008-01-25,90.71,87.01,90.9
296,2008-01-26,89.83985340582163,86.75355068372593,89.84606160758095
297,2008-01-27,90.30901512620521,86.80575731762329,90.42678912886468
298,2008-01-28,90.99,87.23,91.38
299,2008-01-29,91.64,87.24,92.0
300,2008-01-30,92.33,87.36,92.53
301,2008-01-31,91.75,87.39,92.21
302,2008-02-01,92.26646715630727,86.89819943587452,92.69499644935811
303,2008-02-02,91.75833777516286,86.88296964927767,92.24001198133345
304,2008-02-03,90.88586858474373,86.85650045926509,91.4208549575078
305,2008-02-04,90.02,86.87,90.47
306,2008-02-05,88.41,84.97,88.82
307,2008-02-06,87.14,84.91,87.78
308,2008-02-07,88.11,84.85,88.51
309,2008-02-08,91.77,87.46,91.94
310,2008-02-09,92.62771289882633,86.8170952501633,92.44620729380208
311,2008-02-10,93.40270571034847,86.9118837752614,93.26292101099673
312,2008-02-11,93.59,88.57,93.53
313,2008-02-12,92.78,87.55,92.86
314,2008-02-13,93.27,87.81,93.32
315,2008-02-14,95.46,88.74,95.09
316,2008-02-15,95.5,87.7,94.63
317,2008-02-16,97.1342952008573,88.1566116452784,95.41488322664333
318,2008-02-17,98.2073601312534,88.4207351010173,95.98632979166624
319,2008-02-18,98.99936328604565,88.67605084680191,96.50897304842381
320,2008-02-19,100.01,90.24,98.56
321,2008-02-20,100.74,89.69,98.42
322,2008-02-21,98.23,88.82,96.24
323,2008-02-22,98.81,89.91,97.01
324,2008-02-23,99.02569157858176,89.82051392641101,98.39013970823159
325,2008-02-24,98.97804153764923,90.02298341247001,98.61996311539713
326,2008-02-25,99.23,89.22,97.69
327,2008-02-26,100.88,89.69,99.47
328,2008-02-27,99.64,89.52,98.27
329,2008-02-28,102.59,89.9,100.9
330,2008-02-29,101.84,89.91,100.1
331,2008-03-01,102.92099583539189,91.43184901682763,99.28194964730427
332,2008-03-02,102.70364577764346,92.04642777951068,99.55504434972
333,2008-03-03,102.45,95.6,100.48
334,2008-03-04,99.52,92.1,97.52
335,2008-03-05,104.52,97.18,101.64
336,2008-03-06,104.10456531247635,96.11193512030117,101.64759146332769
337,2008-03-07,105.15,99.02,102.38
338,2008-03-08,106.67352470151187,97.73049735498866,102.9394686642557
339,2008-03-09,107.65297525534913,98.21147406833873,103.58900969668946
340,2008-03-10,107.9,98.77,104.16
341,2008-03-11,108.75,95.78,105.25
342,2008-03-12,109.92,96.42,106.27
343,2008-03-13,109.5397411059888,98.06763843316538,106.0327212321074
344,2008-03-14,110.21,97.61,106.2
345,2008-03-15,109.28169176729162,97.58965453498564,105.93047067182923
346,2008-03-16,108.85511167674453,97.38521879605472,105.3475414013134
347,2008-03-17,105.68,98.35,101.75
348,2008-03-18,109.42,98.8,105.56
349,2008-03-19,104.48,96.91,100.72
350,2008-03-20,101.84,97.57,100.38
351,2008-03-21,100.60864201214102,96.70860220298977,98.89630230173053
352,2008-03-22,99.7258881679561,96.64239130469468,98.58313178453112
353,2008-03-23,99.6157020053997,96.59921787983893,98.89896654423931
354,2008-03-24,100.86,96.03,99.86
355,2008-03-25,101.22,96.09,100.6
356,2008-03-26,105.9,96.24,103.99
357,2008-03-27,107.58,96.41,105.0
358,2008-03-28,105.62,96.8,103.77
359,2008-03-29,103.08051076176366,96.81308067106059,101.51858038277207
360,2008-03-30,101.46176905228286,96.9227045366039,100.40107071878269
361,2008-03-31,101.58,96.8,100.3
362,2008-04-01,100.98,94.97,100.17
363,2008-04-02,104.83,98.44,103.75
364,2008-04-03,103.83,96.86,102.52
365,2008-04-04,106.23,99.35,104.9
366,2008-04-05,107.37105658479801,98.0134445300325,105.6740773760311
367,2008-04-06,108.18330335493522,98.26740066229871,106.37071279420056
368,2008-04-07,109.09,99.54,107.14
369,2008-04-08,108.5,98.26,106.34
370,2008-04-09,110.87,99.47,108.47
371,2008-04-10,110.11,98.9,108.2
372,2008-04-11,110.14,100.67,108.75
373,2008-04-12,111.33464709957953,100.22413425606501,109.20552481656911
374,2008-04-13,112.01461666019813,100.62242265505421,109.83585025000266
375,2008-04-14,111.76,100.63,109.84
376,2008-04-15,113.79,102.36,111.31
377,2008-04-16,114.93,102.22,112.66
378,2008-04-17,114.86,101.95,112.43
379,2008-04-18,116.69,101.95,113.92
380,2008-04-19,116.80306782681093,103.1307592941236,114.34632017595793
381,2008-04-20,117.3658709306213,103.28039176604258,114.88775948752878
382,2008-04-21,117.48,102.56,114.43
383,2008-04-22,119.37,103.22,115.95
384,2008-04-23,118.3,103.25,116.46
385,2008-04-24,116.06,103.69,114.34
386,2008-04-25,118.52,103.65,116.34
387,2008-04-26,117.78904512125877,102.81489351701518,115.42703302268976
388,2008-04-27,117.3673000809942,103.17889982748838,115.06535155617254
